Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00,61,0.14791847765,0.2222593725,0.0715128109,0.0014692021,0.0,0.10800246895,0.0,0.14791847765,0.2222593725,0.0715128109,0.0014692021,0.0,0.10800246895,0.0,0.0437933132,0.0347678922,0.0347678922,0.1406130046,0.0423314571,0.0906942263,0.057221394,0.00267585155,0.00267585155,0.08231566845,0.08231566845,0.0,0.0,0.04799176195,0.04799176195,0.10614282265,0.10614282265,0.0394676998,0.0349693745,0.0397244915,0.0380201004,0.029705860700000003,0.029705860700000003,0.4708340764,0.4708340764,0.1100378782,0.1100378782,0.2137711197,0.2137711197,0.0461292788,0.0,0.0,0.0109502897,0.0715902187,0.0715902187,0.05837938375,0.05837938375,4.704e-07,0.0172559954,0.1648156494,-0.0152711803,0.0017783921,0.1360114068,0.0002433841,0.0865661949,0.1360424459,0.0118345227
00:00:00:01,61,0.15662820635000002,0.2167229429,0.07868316025,0.0086107552,0.0,0.104333736,0.0,0.15662820635000002,0.2167229429,0.07868316025,0.0086107552,0.0,0.104333736,0.0,0.0436373502,0.0346584469,0.0346584469,0.139932245,0.0421679541,0.0906084999,0.0571692102,0.0026353677,0.0026353677,0.08239369839999999,0.08239369839999999,0.0,0.0,0.048198483900000005,0.048198483900000005,0.10592037065,0.10592037065,0.0395899005,0.0350518599,0.039717637,0.0380488858,0.02982561295,0.02982561295,0.4705042839,0.4705042839,0.11022352425000001,0.11022352425000001,0.21526204795,0.21526204795,0.0465326831,0.0,0.0,0.0110122422,0.07132833825000001,0.07132833825000001,0.058702828400000004,0.058702828400000004,4.854e-07,0.014973823,0.1610723436,-0.0148632322,0.01042757,0.1326794028,0.0013916736,0.0952894613,0.1327104867,0.0127007551
00:00:00:02,61,0.15899419785000002,0.21959885955,0.07404756545,0.0038666446,0.0,0.10046947,0.0,0.15899419785000002,0.21959885955,0.07404756545,0.0038666446,0.0,0.10046947,0.0,0.0434522927,0.0345750451,0.0345750451,0.1394539028,0.0420464501,0.0906320214,0.0573525839,0.00257896075,0.00257896075,0.0823422708,0.0823422708,0.0,0.0,0.04829820615,0.04829820615,0.10562547295,0.10562547295,0.0396743715,0.0350598805,0.0397555567,0.0381187312,0.029896429750000002,0.029896429750000002,0.4694596529,0.4694596529,0.1104201302,0.1104201302,0.21574299785,0.21574299785,0.0469231717,0.0,0.0,0.0110847931,0.07095143200000001,0.07095143200000001,0.05893800965,0.05893800965,7.25e-07,0.0145656727,0.1603867859,-0.0140724545,0.0046813958,0.1344020367,0.0006330029,0.0896543264,0.1344332397,0.0121088242
00:00:00:03,61,0.1593933031,0.22171439975,0.0750346184,0.00492643425,0.0,0.09740509095,0.0,0.1593933031,0.22171439975,0.0750346184,0.00492643425,0.0,0.09740509095,0.0,0.0432377793,0.0345019959,0.0345019959,0.1388898045,0.0418837629,0.0906590745,0.0575161539,0.00253004465,0.00253004465,0.0823810138,0.0823810138,0.0,0.0,0.0483973194,0.0483973194,0.10535130649999999,0.10535130649999999,0.039736703,0.0350375846,0.0397939198,0.0381976366,0.029969873850000002,0.029969873850000002,0.4690040797,0.4690040797,0.1107299179,0.1107299179,0.21605932715,0.21605932715,0.0473171026,0.0,0.0,0.0111575397,0.07057712225,0.07057712225,0.05920189245,0.05920189245,8.474e-07,0.0121619366,0.1591561735,-0.0139859663,0.005963441,0.1357048154,0.0008142672,0.0908335373,0.1357358843,0.0123879677
00:00:00:04,61,0.15610338005000002,0.21806442734999998,0.07658609005,0.0064927782,0.0,0.0944795869,0.0,0.15610338005000002,0.21806442734999998,0.07658609005,0.0064927782,0.0,0.0944795869,0.0,0.0430802628,0.0344014168,0.0344014168,0.1382911354,0.0417093597,0.0905495286,0.05760381,0.00244105165,0.00244105165,0.0825653598,0.0825653598,0.0,0.0,0.0485428423,0.0485428423,0.1051052697,0.1051052697,0.0398192108,0.0350657664,0.0398057774,0.0382396616,0.03005421445,0.03005421445,0.46913696825,0.46913696825,0.1109899692,0.1109899692,0.21587692945,0.21587692945,0.047732085,0.0,0.0,0.0112259639,0.0701656677,0.0701656677,0.0594389904,0.0594389904,8.335e-07,0.0114747938,0.1598670334,-0.0132074477,0.0078618648,0.1334830821,0.0010556923,0.0927396268,0.1335141957,0.0124376696
00:00:00:05,61,0.15351951865000002,0.21972303840000001,0.0742351413,0.00405569235,0.0,0.0921529308,0.0,0.15351951865000002,0.21972303840000001,0.0742351413,0.00405569235,0.0,0.0921529308,0.0,0.0428853035,0.0343243703,0.0343243703,0.1378237307,0.041587159,0.0905012935,0.0578185283,0.00237692495,0.00237692495,0.08260698620000001,0.08260698620000001,0.0,0.0,0.04859240725,0.04859240725,0.1047648005,0.1047648005,0.0398664922,0.0350460969,0.0398259275,0.0382896066,0.0300859017,0.0300859017,0.46878942845000005,0.46878942845000005,0.1111932583,0.1111932583,0.21501295264999998,0.21501295264999998,0.0480833761,0.0,0.0,0.0112949982,0.06972234325000001,0.06972234325000001,0.0596162137,0.0596162137,9.075e-07,0.0124869794,0.1624400169,-0.0128325177,0.0049102274,0.1344795376,0.0006643319,0.0898805261,0.1345106959,0.0121463696
00:00:00:06,61,0.15177810195,0.22098393735,0.0747033134,0.00452614065,0.0,0.09040038289999999,0.0,0.15177810195,0.22098393735,0.0747033134,0.00452614065,0.0,0.09040038289999999,0.0,0.0426714644,0.0342539437,0.0342539437,0.1373700798,0.0415016003,0.0904225409,0.0580104664,0.00232342375,0.00232342375,0.08262000235,0.08262000235,0.0,0.0,0.048629816650000005,0.048629816650000005,0.1044376269,0.1044376269,0.0398922563,0.0350279696,0.0398231111,0.0383042954,0.0300950883,0.0300950883,0.46843835715000004,0.46843835715000004,0.11130308729999999,0.11130308729999999,0.21450807900000002,0.21450807900000002,0.0483884662,0.0,0.0,0.0113605661,0.0692816116,0.0692816116,0.05978821965,0.05978821965,7.27e-07,0.0113765998,0.1622930765,-0.013136941,0.0054792231,0.1352550089,0.000745641,0.0904379636,0.1352861375,0.0122928014
00:00:00:07,61,0.1506457552,0.22082930055,0.0744525641,0.00427325255,0.0,0.08879696949999999,0.0,0.1506457552,0.22082930055,0.0744525641,0.00427325255,0.0,0.08879696949999999,0.0,0.0425074324,0.0342125669,0.0342125669,0.1369669884,0.0413609929,0.0903579146,0.0581446886,0.0022545962,0.0022545962,0.08253097905000001,0.08253097905000001,0.0,0.0,0.048681974399999994,0.048681974399999994,0.10420843590000001,0.10420843590000001,0.0399282314,0.0349956751,0.0398223475,0.0383348279,0.030109327300000002,0.030109327300000002,0.4684523195,0.4684523195,0.1115475111,0.1115475111,0.2137623429,0.2137623429,0.0486824699,0.0,0.0,0.0114126941,0.06884045524999999,0.06884045524999999,0.0599038508,0.0599038508,7.254e-07,0.0119645847,0.1625422537,-0.013220272,0.0051731514,0.1351583898,0.0007034804,0.0901355445,0.1351894736,0.0122429524
00:00:00:08,61,0.14989889415000002,0.2216165215,0.07375842335,0.0035743483,0.0,0.0874464661,0.0,0.14989889415000002,0.2216165215,0.07375842335,0.0035743483,0.0,0.0874464661,0.0,0.042393025,0.0342039056,0.0342039056,0.1366330832,0.041220665,0.0902985185,0.0582692809,0.0021960831,0.0021960831,0.08235259349999999,0.08235259349999999,0.0,0.0,0.04871470485,0.04871470485,0.10401920605000001,0.10401920605000001,0.0399516933,0.0349577367,0.039809525,0.0383582078,0.0301061934,0.0301061934,0.4684740305,0.4684740305,0.11176615579999999,0.11176615579999999,0.2100408077,0.2100408077,0.0489745103,0.0,0.0,0.0114540849,0.06840921565,0.06840921565,0.059934895450000004,0.059934895450000004,6.726e-07,0.0123023316,0.1625911444,-0.0133769801,0.004326785,0.1356347948,0.0005904862,0.0892893225,0.1356658936,0.0121715963
00:00:00:09,61,0.1492630169,0.22044603525,0.0745335147,0.0043800776,0.0,0.0864873603,0.0,0.1492630169,0.22044603525,0.0745335147,0.0043800776,0.0,0.0864873603,0.0,0.0422915891,0.0341921039,0.0341921039,0.1364332438,0.0411295705,0.0903648511,0.0584818125,0.00213600205,0.00213600205,0.0820323974,0.0820323974,0.0,0.0,0.0487187374,0.0487187374,0.10387331620000001,0.10387331620000001,0.0399635471,0.0349160209,0.0398090333,0.0383827128,0.030091641500000002,0.030091641500000002,0.4682615548,0.4682615548,0.11191021279999999,0.11191021279999999,0.2070785835,0.2070785835,0.0492159314,0.0,0.0,0.0115037477,0.0680075921,0.0680075921,0.0599341169,0.0599341169,6.467e-07,0.0113935238,0.1618823409,-0.0138688954,0.0053026406,0.1349244416,0.0007198257,0.090236403,0.1349555403,0.0122351451
