Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00,61,0.12350282444999999,0.283773005,0.06843223425,0.0,0.0,0.048652777450000004,0.0,0.12350282444999999,0.283773005,0.06843223425,0.0,0.0,0.048652777450000004,0.0,0.0167854819,0.02687187495,0.02687187495,0.1375059038,0.0910029486,0.1037912071,0.1637958586,0.00268288865,0.00268288865,0.04114079665,0.04114079665,0.0,0.0,0.03424902075,0.03424902075,0.10342234375,0.10342234375,0.0263940934,0.0243268125,0.0555238202,0.0417659804,0.0216275202,0.0216275202,0.20867210625,0.20867210625,0.055207798249999995,0.055207798249999995,0.13324256245,0.13324256245,0.0663968772,0.0,0.0,0.0128523596,0.05379083755,0.05379083755,0.062083736099999995,0.062083736099999995,2.904e-07,-0.0639547482,0.2396088988,-0.0205002725,-0.0198064055,0.1735053062,-0.0034711803,0.0625459775,0.1735660434,0.0109586129
00:00:00:01,61,0.12349920749915255,0.28419765983305084,0.0684286357618644,0.0,0.0,0.04828693348559322,0.0,0.12349920749915255,0.28419765983305084,0.0684286357618644,0.0,0.0,0.04828693348559322,0.0,0.016972837094915254,0.0268804310779661,0.0268804310779661,0.13796647951864405,0.09056499374576271,0.10440014999830508,0.1634973701542373,0.002662662240677966,0.002662662240677966,0.04069896490932203,0.04069896490932203,0.0,0.0,0.03432319718220339,0.03432319718220339,0.10309875051694915,0.10309875051694915,0.026470852813559324,0.024410346857627118,0.0554534107220339,0.04182080036779661,0.021706477605932202,0.021706477605932202,0.2096695432644068,0.2096695432644068,0.05570681354661017,0.05570681354661017,0.1337210178855932,0.1337210178855932,0.0664481525440678,0.0,0.0,0.012914392561016948,0.05389261646610169,0.05389261646610169,0.06247707963050847,0.06247707963050847,2.2814745762711863e-07,-0.06476474197627119,0.24008222078305083,-0.02055532675084746,-0.019750371798305084,0.1737651943457627,-0.0034666492254237288,0.06259392491355932,0.17382584356101694,0.010983754452542373
00:00:00:02,61,0.12352755180762712,0.284835608288983,0.06841689062627118,0.0,0.0,0.0479078338279661,0.0,0.12352755180762712,0.284835608288983,0.06841689062627118,0.0,0.0,0.0479078338279661,0.0,0.01721462905423729,0.026930868630508475,0.026930868630508475,0.14581566723728814,0.09022201846779661,0.10528294729322034,0.16304606400847457,0.0027029039237288135,0.0027029039237288135,0.040331341519491526,0.040331341519491526,0.0,0.0,0.034410837144915246,0.034410837144915246,0.10292277141016949,0.10292277141016949,0.026505506084745764,0.024484317708474576,0.05523218089491525,0.04179966104915254,0.021699721395762712,0.021699721395762712,0.21396197226949154,0.21396197226949154,0.05637932800932203,0.05637932800932203,0.13346287999067796,0.13346287999067796,0.06655765792372882,0.0,0.0,0.012938398394915255,0.054021170330508475,0.054021170330508475,0.06278158760338982,0.06278158760338982,1.4995762711864406e-07,-0.06489989753220339,0.24104309661694914,-0.02130880048644068,-0.019572532930508476,0.17415591040338982,-0.0034433207305084746,0.06275202096779661,0.17421658487288136,0.011036716533898306
00:00:00:03,61,0.12369069574661017,0.2850115400067797,0.06839747199830509,0.0,0.0,0.047536428999152544,0.0,0.12369069574661017,0.2850115400067797,0.06839747199830509,0.0,0.0,0.047536428999152544,0.0,0.017578781459322033,0.026996692760169493,0.026996692760169493,0.16389349153728813,0.08982258022542373,0.10766812451694915,0.16157137340847458,0.002756854705084746,0.002756854705084746,0.03997196111355932,0.03997196111355932,0.0,0.0,0.03453361837966101,0.03453361837966101,0.10286110466355933,0.10286110466355933,0.026522546940677967,0.024597548020338984,0.054818584359322034,0.041683273591525426,0.0216441691279661,0.0216441691279661,0.23055026124322037,0.23055026124322037,0.057885207288983054,0.057885207288983054,0.13254535932288136,0.13254535932288136,0.06673337265593221,0.0,0.0,0.012936626315254237,0.05421700430847458,0.05421700430847458,0.06308775391101695,0.06308775391101695,1.2092542372881354e-07,-0.06512876829661016,0.2424366191118644,-0.02281992359661017,-0.019359429318644067,0.17426416531016947,-0.003407997379661017,0.06294020718474576,0.17432481982881357,0.011076784918644068
00:00:00:04,61,0.12409825677033898,0.28499961301355936,0.06838555137288135,0.0,0.0,0.04721276710084746,0.0,0.12409825677033898,0.28499961301355936,0.06838555137288135,0.0,0.0,0.04721276710084746,0.0,0.018222531116949152,0.027098580165254238,0.027098580165254238,0.19077818473728814,0.0891372541237288,0.11281612992033899,0.15908607792033896,0.0028009008491525424,0.0028009008491525424,0.03837695869830508,0.03837695869830508,0.0,0.0,0.03468047695084746,0.03468047695084746,0.10286845195169492,0.10286845195169492,0.026515981950847457,0.02472274426779661,0.05426217470847458,0.04154145572372882,0.02155579338898305,0.02155579338898305,0.2429618144398305,0.2429618144398305,0.06097798484661017,0.06097798484661017,0.12926825625508476,0.12926825625508476,0.06693880969661017,0.0,0.0,0.012916830383050847,0.05444521923389831,0.05444521923389831,0.0633548749940678,0.0633548749940678,7.774915254237288e-08,-0.06448617666271186,0.24395285822033896,-0.023638663315254237,-0.019638854949152542,0.1742557388559322,-0.0034570402169491524,0.06264654320508474,0.17431641307288134,0.01102459726779661
00:00:00:05,61,0.1260843741923729,0.2854447475966102,0.06836659910338982,0.0,0.0,0.046861813846610166,0.0,0.1260843741923729,0.2854447475966102,0.06836659910338982,0.0,0.0,0.046861813846610166,0.0,0.020603792833898304,0.02731851173135593,0.02731851173135593,0.2621873985728813,0.08790132695423729,0.12868191556101694,0.1571880687881356,0.002890282192372881,0.002890282192372881,0.03065277928305085,0.03065277928305085,0.0,0.0,0.034863996517796605,0.034863996517796605,0.10318412701525424,0.10318412701525424,0.026438680130508475,0.024831288735593218,0.05343114739661017,0.041411550228813564,0.021402519268644067,0.021402519268644067,0.26269719686949156,0.26269719686949156,0.0684475654042373,0.0684475654042373,0.11594673290338983,0.11594673290338983,0.06723178220338984,0.0,0.0,0.012878015993220339,0.05475483287542372,0.05475483287542372,0.06366884014491525,0.06366884014491525,4.643728813559322e-08,-0.06413598685932204,0.24466621522711865,-0.024416706991525424,-0.020332682427118644,0.17452525686779663,-0.003584806427118644,0.06192593569152542,0.17458586368135592,0.010915150506779662
00:00:00:06,61,0.12990686195508472,0.28543002823728814,0.0683653852338983,0.0,0.0,0.04650356556694915,0.0,0.12990686195508472,0.28543002823728814,0.0683653852338983,0.0,0.0,0.04650356556694915,0.0,0.02806731337627119,0.027596136699152545,0.027596136699152545,0.3298752171762712,0.08732097923220339,0.14803238820847459,0.15614432019491525,0.0030315168398305087,0.0030315168398305087,0.018028122242372872,0.018028122242372872,0.0,0.0,0.03514541437372881,0.03514541437372881,0.10664326994915255,0.10664326994915255,0.02632819151016949,0.024997004108474576,0.05223803391186441,0.04128185127627119,0.021182707278813558,0.021182707278813558,0.2865995898576271,0.2865995898576271,0.07544612116525425,0.07544612116525425,0.0985087207220339,0.0985087207220339,0.06766229493559321,0.0,0.0,0.012829763149152542,0.0551683606161017,0.0551683606161017,0.06393046830084745,0.06393046830084745,3.01457627118644e-08,-0.06445653256101695,0.2453935348542373,-0.02509484970338983,-0.021219146627118646,0.17451306265084746,-0.0037406876915254236,0.06103810669491525,0.17457368062033898,0.010758217842372882
00:00:00:07,61,0.13181642848050845,0.2845801978813559,0.06836924908728814,0.0,0.0,0.046098289569491524,0.0,0.13181642848050845,0.2845801978813559,0.06836924908728814,0.0,0.0,0.046098289569491524,0.0,0.040405474355932204,0.02792841099661017,0.02792841099661017,0.404849511620339,0.09371018019661018,0.187087359340678,0.1691417532322034,0.0031962644389830507,0.0031962644389830507,0.006947450844067794,0.006947450844067794,0.0016131459305084763,0.0016131459305084763,0.03548778255084746,0.03548778255084746,0.1177855480601695,0.1177855480601695,0.026194908005084745,0.02520435179322034,0.05097265889491526,0.041173456781355935,0.020898349580508475,0.020898349580508475,0.3218716246483051,0.3218716246483051,0.08081783203728814,0.08081783203728814,0.08293419167288135,0.08293419167288135,0.06824874427457626,0.0,0.0,0.012774187569491524,0.05557904931016949,0.05557904931016949,0.06408176108305084,0.06408176108305084,2.990847457627119e-08,-0.06380377379322034,0.2464072671118644,-0.025444445455932205,-0.02235313050338983,0.17398962200508475,-0.00392839136101695,0.05991624043220339,0.17405023990508475,0.010528536216949151
00:00:00:08,61,0.1335476501516949,0.2833983044847458,0.0683614888838983,0.0,0.0,0.04559510810508474,0.0,0.1335476501516949,0.2833983044847458,0.0683614888838983,0.0,0.0,0.04559510810508474,0.0,0.05165872733898305,0.02824910086101695,0.02824910086101695,0.47439506751186444,0.1136798687762712,0.26568870803559325,0.209264447140678,0.0033643613525423726,0.0033643613525423726,0.001355877220338982,0.001355877220338982,0.021357223344067817,0.021357223344067817,0.03565550997118644,0.03565550997118644,0.13112322486694916,0.13112322486694916,0.02599550536440678,0.02535049514576271,0.05025437388474577,0.04128813266271187,0.020572033119491524,0.020572033119491524,0.33921752036355934,0.33921752036355934,0.08975871376271187,0.08975871376271187,0.07054383486101695,0.07054383486101695,0.06894560438305085,0.0,0.0,0.012696687572881355,0.05593912066949153,0.05593912066949153,0.0642587409559322,0.0642587409559322,3.6335593220338986e-08,-0.06278042974915254,0.24819382140338983,-0.026048881774576274,-0.02410968154745763,0.17326139468644067,-0.004218717693220339,0.05816069384576271,0.17332204289152542,0.010177037745762712
00:00:00:09,61,0.13435927574491524,0.28201038808474577,0.0683406545559322,0.0,0.0,0.04506564778135593,0.0,0.13435927574491524,0.28201038808474577,0.0683406545559322,0.0,0.0,0.04506564778135593,0.0,0.061202242327118656,0.028464343937288136,0.028464343937288136,0.5194733062050848,0.13052326059491526,0.3411924626779662,0.24501166957796613,0.0034341650720338983,0.0034341650720338983,0.0,0.0,0.05597062615677969,0.05597062615677969,0.03554289728728814,0.03554289728728814,0.1471342334762712,0.1471342334762712,0.02573013224915254,0.025313087469491524,0.04990758724745763,0.041852692157627124,0.020239307100847457,0.020239307100847457,0.3578785518949153,0.3578785518949153,0.10636423288728816,0.10636423288728816,0.06276004620508474,0.06276004620508474,0.06958977901694915,0.0,0.0,0.012567878357627118,0.056242223007627115,0.056242223007627115,0.0645366652838983,0.0645366652838983,4.536440677966103e-08,-0.06246820474915254,0.250765158461017,-0.02665799956440678,-0.026709542425423734,0.17240564500508476,-0.004649902467796611,0.055547855627118635,0.17246631013050848,0.009671532420338982
